"Wirecard Payment Gateway","Wirecard 支付流程网关"
"Wirecard Payment Gateway Pay now.","Wirecard 支付流程网关立即支付。"
"General Information regarding Wirecard Shop Plugins","Wirecard 商店插件的常规信息"
"Credentials","凭证"
"Base Url","基础 URL"
"Http User","Http 用户"
"Http Password","Http 密码"
"Test Credentials","测试凭证"
"Please check your credentials.","请检查您的凭证。"
"An error occurred during the payment process. Please try again.","在支付流程中发生了错误。请重试。"
"Credentials correct.","凭证正确。"
"Settings","设置"
"Default Currency","默认货币"
"Wirecard Payment Gateway PayPal","Wirecard 支付流程网关 PayPal"
"Enabled","已启用"
"Merchant Account Id","商户账号 ID"
"Secret Key","秘钥"
"Final state of transaction could not be determined.","交易的最终状态无法确定。"
"Invalid request to success redirect page.","成功跳转页面的无效申请。"
"No such order.","无此订单。"
"The payment process was not finished successful.","支付流程未能成功完成。"
"You have canceled the payment process.","您已经取消了支付流程。"
"Authorize","授权"
"Capture","捕捉"
"An error occurred loading the credit card form. Please try again.","在载入信用卡表单时发生错误。请重试。"
"An error occurred submitting the credit card form.","在提交信用卡表单时发生错误。"
"SEPA Direct Debit Mandate Form","SEPA 直接扣款授权令表单"
"Creditor","贷方"
"Creditor ID:","贷方 ID："
"Mandate reference:","批准参考："
"Debtor","借方"
"Account owner","账户所有人"
"Birthdate:","生日"
"Bank Account IBAN","IBAN"
"IBAN:","IBAN："
"BIC","BIC"
"BIC:","BIC:"
"I authorize the creditor ","我授权该贷方 "
" to send instructions to my bank to collect one single direct debit from my account. At the same time I instruct my bank to debit my account in accordance with the instructions from the creditor "," 向我的银行发送指示，以便从我的账户中直接收取一笔账目。与此同时，我指派我的银行根据贷方的指示在我的账户上记录相应的债务。"
"sepamandatetextextra","."
"Note: As part of my rights, I am entitled to a refund under the terms and conditions of my agreement with my bank. A refund must be claimed within 8 weeks starting from the date on which my account was debited.","备注：作为我权力的一部分，根据我与银行之间协议的使用条款，我应当获得退款。该退款必须在我账户计入债务起的 8 周内索取。"
"I irrevocably agree that, in the event that the direct debit is not honored, or objection against the direct debit exists, my bank will disclose to the creditor %s my full name, address and date of birth.","我不可撤销地同意，当无法如期执行直接扣款或是直接扣款受到阻碍时，我的银行可以向贷方公布我的全名、地址以及出生日期。"
"I have read and accepted the SEPA Direct Debit Mandate information.","我已经阅读并接受 SEPA 直接扣款授权令的信息。"
"Amount:","金额："
"Date:","日期："
"The maximum order amount in your default currency to initialize Non 3-D Secure transactions.","发起非 3-D 安全交易的最大订单金额（以您的默认货币为单位）。"
"The minimum order amount in your default currency to initialize 3-D Secure transactions.<br /><a href="https://github.com/wirecard/magento2-ee/wiki/Credit-Card%3A-3D-Secure-and-SSL">Overview: Non 3-D Secure Max Limit and 3-D Secure Min Limit</a>","发起非 3-D 安全交易的最小订单金额（以您的默认货币为单位）。"
"The elastic engine base url. (e.g. https://api.wirecard.com)","Wirecard 支付流程网关基础 URL。（例如 https://api.wirecard.com）"
